;PD;;PLAN DE DESARROLLO
;PD.1;;EJE1.CIUDADANIA SOSTENIBLE
;PD.11;;POLITICA: MEDIO AMBIENTE NATURAL
;PD.1101;;PROGRAMA:MEDIO AMBIENTE Y RECURSOS NATURALES RENOVABLES
;PD.1101001;;SUBPROGRAMA:GESTION INTEGRADA DEL RECURSO HIDRICO
120543;PD.1101001.001;COFI;META:Recuperación y mantenimiento paisajistico y ambiental de 12 quebradas ìdel Municipio
120544;PD.1101001.001;OTR;META:Recuperación y mantenimiento paisajistico y ambiental de 12 quebradas ìdel Municipio
120545;PD.1101001.001;REC;META:Recuperación y mantenimiento paisajistico y ambiental de 12 quebradas ìdel Municipio
120546;PD.1101001.001;ROR;META:Recuperación y mantenimiento paisajistico y ambiental de 12 quebradas ìdel Municipio
120547;PD.1101001.001;SGP;META:Recuperación y mantenimiento paisajistico y ambiental de 12 quebradas ìdel Municipio
120548;PD.1101001.002;COFI;META:Formular e implementar 4 programas de uso eficiente y ahorro del agua ì(Ley 373/1997)
120549;PD.1101001.002;OTR;META:Formular e implementar 4 programas de uso eficiente y ahorro del agua ì(Ley 373/1997)
120550;PD.1101001.002;REC;META:Formular e implementar 4 programas de uso eficiente y ahorro del agua ì(Ley 373/1997)
120551;PD.1101001.002;ROR;META:Formular e implementar 4 programas de uso eficiente y ahorro del agua ì(Ley 373/1997)
120552;PD.1101001.002;SGP;META:Formular e implementar 4 programas de uso eficiente y ahorro del agua ì(Ley 373/1997)
120553;PD.1101001.003;COFI;META:Reforestar 100 hectáreas en zonas de influencia de las microcuencas y ìen zonas afectadas por erosión.
120554;PD.1101001.003;OTR;META:Reforestar 100 hectáreas en zonas de influencia de las microcuencas y ìen zonas afectadas por erosión.
120555;PD.1101001.003;REC;META:Reforestar 100 hectáreas en zonas de influencia de las microcuencas y ìen zonas afectadas por erosión.
120556;PD.1101001.003;ROR;META:Reforestar 100 hectáreas en zonas de influencia de las microcuencas y ìen zonas afectadas por erosión.
120557;PD.1101001.003;SGP;META:Reforestar 100 hectáreas en zonas de influencia de las microcuencas y ìen zonas afectadas por erosión.
120558;PD.1101001.004;COFI;META:Adquirir 40 hectáreas para conservar el recurso hídrico.
120559;PD.1101001.004;OTR;META:Adquirir 40 hectáreas para conservar el recurso hídrico.
120560;PD.1101001.004;REC;META:Adquirir 40 hectáreas para conservar el recurso hídrico.
120561;PD.1101001.004;ROR;META:Adquirir 40 hectáreas para conservar el recurso hídrico.
120562;PD.1101001.004;SGP;META:Adquirir 40 hectáreas para conservar el recurso hídrico.
120563;PD.1101001.005;COFI;META:Recuperación, reubicación, expropiación de espacios del agua, procesos ìinadecuados de ocupación y uso del territorio y áreas forestales.
120564;PD.1101001.005;OTR;META:Recuperación, reubicación, expropiación de espacios del agua, procesos ìinadecuados de ocupación y uso del territorio y áreas forestales.
120565;PD.1101001.005;REC;META:Recuperación, reubicación, expropiación de espacios del agua, procesos ìinadecuados de ocupación y uso del territorio y áreas forestales.
120566;PD.1101001.005;ROR;META:Recuperación, reubicación, expropiación de espacios del agua, procesos ìinadecuados de ocupación y uso del territorio y áreas forestales.
120567;PD.1101001.005;SGP;META:Recuperación, reubicación, expropiación de espacios del agua, procesos ìinadecuados de ocupación y uso del territorio y áreas forestales.
;PD.1101002;;SUBPROGRAMA:PLAN DE GESTION DE RESIDUOS SOLIDOS MUNICIPALES
120568;PD.1101002.001;COFI;META:Realizar 4 capacitaciones para la implementacion del Plan de Gestion deì Residuos Sólidos
120569;PD.1101002.001;OTR;META:Realizar 4 capacitaciones para la implementacion del Plan de Gestion deì Residuos Sólidos
120570;PD.1101002.001;REC;META:Realizar 4 capacitaciones para la implementacion del Plan de Gestion deì Residuos Sólidos
120571;PD.1101002.001;ROR;META:Realizar 4 capacitaciones para la implementacion del Plan de Gestion deì Residuos Sólidos
120572;PD.1101002.001;SGP;META:Realizar 4 capacitaciones para la implementacion del Plan de Gestion deì Residuos Sólidos
120573;PD.1101002.002;COFI;META:Fortalecer 3 organizaciones encargadas del reciclaje en el Municipio.
120574;PD.1101002.002;OTR;META:Fortalecer 3 organizaciones encargadas del reciclaje en el Municipio.
120575;PD.1101002.002;REC;META:Fortalecer 3 organizaciones encargadas del reciclaje en el Municipio.
120576;PD.1101002.002;ROR;META:Fortalecer 3 organizaciones encargadas del reciclaje en el Municipio.
120577;PD.1101002.002;SGP;META:Fortalecer 3 organizaciones encargadas del reciclaje en el Municipio.
120578;PD.1101002.003;COFI;META:Situar 1 escambrera
120579;PD.1101002.003;OTR;META:Situar 1 escambrera
120580;PD.1101002.003;REC;META:Situar 1 escambrera
120581;PD.1101002.003;ROR;META:Situar 1 escambrera
120582;PD.1101002.003;SGP;META:Situar 1 escambrera
120583;PD.1101002.004;COFI;METAS:Lograr 50% de servicios de recolección de residuos sólidos en el ìsector ural.
120584;PD.1101002.004;OTR;METAS:Lograr 50% de servicios de recolección de residuos sólidos en el ìsector ural.
120585;PD.1101002.004;REC;METAS:Lograr 50% de servicios de recolección de residuos sólidos en el ìsector ural.
120586;PD.1101002.004;ROR;METAS:Lograr 50% de servicios de recolección de residuos sólidos en el ìsector ural.
120587;PD.1101002.004;SGP;METAS:Lograr 50% de servicios de recolección de residuos sólidos en el ìsector ural.
120588;PD.1101002.005;COFI;METAS:Ejecutar 1 programa encaminado a compostar los residuos orgánicos ìdomiciliarios.
120589;PD.1101002.005;OTR;METAS:Ejecutar 1 programa encaminado a compostar los residuos orgánicos ìdomiciliarios.
120590;PD.1101002.005;REC;METAS:Ejecutar 1 programa encaminado a compostar los residuos orgánicos ìdomiciliarios.
120591;PD.1101002.005;ROR;METAS:Ejecutar 1 programa encaminado a compostar los residuos orgánicos ìdomiciliarios.
120592;PD.1101002.005;SGP;METAS:Ejecutar 1 programa encaminado a compostar los residuos orgánicos ìdomiciliarios.
120593;PD.1101002.006;COFI;METAS:Actualizar y/o modificar PGIR su ejecución y puesta en marcha en ìalianza y convenio regional.
120594;PD.1101002.006;OTR;METAS:Actualizar y/o modificar PGIR su ejecución y puesta en marcha en ìalianza y convenio regional.
120595;PD.1101002.006;REC;METAS:Actualizar y/o modificar PGIR su ejecución y puesta en marcha en ìalianza y convenio regional.
120596;PD.1101002.006;ROR;METAS:Actualizar y/o modificar PGIR su ejecución y puesta en marcha en ìalianza y convenio regional.
